CPULT_scaler,CPULT_scaler_uncern,HMS_eLT,HMS_eLT_uncern,HMS_evts_scalar,HMS_evts_scalar_uncern,HMS_track,HMS_track_uncern,Ktrack,Ktrack_uncern,SHMS_eLT,SHMS_eLT_uncern,SHMS_evts_scalar,SHMS_evts_scalar_uncern,SHMS_track,SHMS_track_uncern,TRIG1_cut,TRIG1_scaler,TRIG3_cut,TRIG3_scaler,accp_edtm,charge,etrack,etrack_uncern,h_int_goodscin_evts,hadtrack,hadtrack_uncern,p_int_goodscin_evts,pitrack,pitrack_uncern,ps1,ps3,ptrack,ptrack_uncern,run number,sent_edtm,time
0.0,0.0,0.9917652168803477,0.001206820278907019,1031,32.109188716004645,1.0,0.0036278347582408407,1.0,0.0436852028330519,0.9917652168803477,0.001206820278907019,417,20.42057785666214,1.0,0.008687280945846447,655140,89586468.0,2218854,30180729.0,0,19732.448641418152,0.04608230998127264,0.00012946582870331137,776.0,1.0,0.009726402434053523,331.6666666666667,1.0,0.009726402434053523,0,2,1.0,0.254000254000381,7841,635163.0,635.1521849999999
0.0,0.0,0.9985982484079893,0.0007379991005325389,221,14.866068747318506,1.0,0.003681911579178252,1.0,0.05684204228032046,0.9985982484079893,0.0007379991005325389,76,8.717797887081348,1.0,0.01043849297829236,724034,18428932.0,2326493,6621228.0,0,3867.238325034637,0.04283708716854088,0.00012100741171693484,155.33333333333331,1.0,0.011456850975370077,57.99999999999999,1.0,0.011456850975370077,0,2,1.0,0.3779644730092272,7846,774715.0,774.7017860000001
0.0,0.0,0.9958653703087474,0.000987794436056283,598,24.454038521274967,1.0,0.0035705861217919235,1.0,0.050964719143762556,0.9958653703087474,0.000987794436056283,230,15.165750888103101,1.0,0.009521650664091476,716404,50100380.0,2400277,17095184.0,0,10897.611488091667,0.04434003143936952,0.00012187048126615171,430.5,1.0,0.010550014183184851,189.0,1.0,0.010550014183184851,0,2,1.0,0.2773500981126146,7847,707714.0,707.7025990000001
0.0,0.0,0.9820978721450575,0.001444865352106531,1214,34.84250278036869,1.0,0.004854025790303598,1.0,0.03071475584169756,0.9820978721450575,0.001444865352106531,417,20.42057785666214,1.0,0.007261549488789798,726365,208162935.0,1117143,69803467.0,0,46256.2876602906,0.038700053970053404,0.00014766097983473473,832.5833333333333,1.0,0.008209002084267947,304.0,1.0,0.008209002084267947,0,65,1.0,0.17277368511627203,7864,686632.0,686.6205090000001
0.0,0.0,0.9863206173314908,0.001402601859670045,683,26.13426869074396,1.0,0.006133007556624325,1.0,0.03159908616764186,0.9863206173314908,0.001402601859670045,205,14.317821063276353,1.0,0.007119827599733828,947711,136266108.0,725207,45712672.0,0,30210.880778350296,0.026989564361868407,0.0001287154785359247,496.99999999999994,1.0,0.007953433756407962,143.3333333333333,1.0,0.007953433756407962,0,65,1.0,0.22941573387056177,7865,585313.0,585.3032489999999
0.0,0.0,0.9821365648801386,0.0014709058766421662,1002,31.654383582688826,1.0,0.0070861418966644725,1.0,0.031943828249996996,0.9821365648801386,0.0014709058766421662,494,22.22611077089287,1.0,0.0076958376582015806,640954,192972866.0,586651,19722051.0,0,52720.96482854621,0.028862899192451368,0.00015552801012830961,684.0,1.0,0.008459552701978883,394.0,1.0,0.008459552701978883,0,33,1.0,0.1543033499620919,7948,637295.0,637.2834459999999
0.0,0.0,0.9859258250628536,0.0014132052995414629,1130,33.61547262794322,1.0,0.005940134053111802,1.0,0.038590196633953654,0.9859258250628536,0.0014132052995414629,570,23.874672772626646,1.0,0.009036554505346999,488507,140028078.0,859508,14398439.0,0,38226.36299480078,0.037666820218042955,0.00017027470191876323,784.5,1.0,0.009980556852758494,463.0,1.0,0.009980556852758494,0,17,1.0,0.13608276348795434,7949,584616.0,584.606309
0.0,0.0,0.9915842217795209,0.0012196961830518963,459,21.42428528562855,1.0,0.007753568916870435,1.0,0.04490132550669373,0.9915842217795209,0.0012196961830518963,276,16.61324772583615,1.0,0.00944047605367224,605157,89696576.0,528168,9450198.0,0,24372.51489822202,0.026420714475410514,0.00015468389636016984,312.0,1.0,0.010252770865347751,223.0,1.0,0.010252770865347751,0,17,1.0,0.20851441405707477,7950,623352.0,623.3402299999999
0.0,0.0,0.9957838119946175,0.001034690297117243,205,14.317821063276353,1.0,0.008206237551932437,1.0,0.05447347107028433,0.9957838119946175,0.001034690297117243,107,10.344080432788601,1.0,0.01075144515855154,578760,43277394.0,476766,4823968.0,0,11651.126449391439,0.02542636217052971,0.0001571640829337063,135.33333333333334,1.0,0.011611434067571855,89.33333333333333,1.0,0.011611434067571855,0,9,1.0,0.3086066999241838,7951,596704.0,596.6924680000002
0.0,0.0,0.998570534561403,0.0007786670367099522,27,5.196152422706632,1.0,0.014222003099714357,1.0,0.10752066611409407,0.998570534561403,0.0007786670367099522,14,3.7416573867739413,1.0,0.020161945963637795,197783,15463703.0,162614,2189389.0,0,4097.264860447851,0.024816939003715326,0.0002656473363461709,17.333333333333332,1.0,0.021703261485649127,12.583333333333332,1.0,0.021703261485649127,0,9,1.0,0.7071067811865476,7952,727057.0,727.044794
